DÍA DE LA SEMANA,HORA DEL DÍA,CONSUMO,SALIDA DE LA RED
4.000000,22.000000,0.665000,0.729296
4.000000,23.000000,0.634670,0.702364
4.000000,24.000000,0.619670,0.651175
5.000000,1.000000,0.570970,0.466652
5.000000,2.000000,0.485630,0.508810
5.000000,3.000000,0.448700,0.507261
5.000000,4.000000,0.429330,0.492168
5.000000,5.000000,0.411030,0.472915
5.000000,6.000000,0.377030,0.450646
5.000000,7.000000,0.385670,0.418302
5.000000,8.000000,0.390000,0.403030
5.000000,9.000000,0.404630,0.397270
5.000000,10.000000,0.445670,0.404278
5.000000,11.000000,0.490300,0.436808
5.000000,12.000000,0.524670,0.481370
5.000000,13.000000,0.531700,0.520434
5.000000,14.000000,0.525700,0.535408
5.000000,15.000000,0.520970,0.532680
5.000000,16.000000,0.510670,0.526801
5.000000,17.000000,0.514670,0.514613
5.000000,18.000000,0.546000,0.519104
5.000000,19.000000,0.577000,0.555667
5.000000,20.000000,0.582670,0.585665
5.000000,21.000000,0.597370,0.587088
5.000000,22.000000,0.610700,0.604566
5.000000,23.000000,0.620670,0.616800
5.000000,24.000000,0.597670,0.626090
6.000000,1.000000,0.571000,0.398705
6.000000,2.000000,0.427370,0.475025
6.000000,3.000000,0.394000,0.464296
6.000000,4.000000,0.374000,0.442722
6.000000,5.000000,0.365370,0.418795
6.000000,6.000000,0.368630,0.398733
6.000000,7.000000,0.390330,0.388018
6.000000,8.000000,0.425030,0.394424
6.000000,9.000000,0.470700,0.418987
6.000000,10.000000,0.515000,0.459695
6.000000,11.000000,0.570330,0.505355
6.000000,12.000000,0.580330,0.558812
6.000000,13.000000,0.570970,0.582368
6.000000,14.000000,0.540000,0.582519
6.000000,15.000000,0.519000,0.555629
6.000000,16.000000,0.527700,0.527989
6.000000,17.000000,0.541700,0.533971
6.000000,18.000000,0.541700,0.548650
6.000000,19.000000,0.631670,0.546497
6.000000,20.000000,0.634670,0.643282
6.000000,21.000000,0.643670,0.641214
6.000000,22.000000,0.645330,0.649083
6.000000,23.000000,0.652670,0.650561
6.000000,24.000000,0.582670,0.657588
7.000000,1.000000,0.471330,0.373990
7.000000,2.000000,0.442000,0.422755
7.000000,3.000000,0.408300,0.437896
7.000000,4.000000,0.407970,0.431603
7.000000,5.000000,0.374670,0.427164
7.000000,6.000000,0.339700,0.407127
7.000000,7.000000,0.332970,0.376016
7.000000,8.000000,0.332970,0.355132
7.000000,9.000000,0.326330,0.344805
7.000000,10.000000,0.338330,0.335506
7.000000,11.000000,0.375700,0.340755
7.000000,12.000000,0.409030,0.372471
7.000000,13.000000,0.431670,0.408979
7.000000,14.000000,0.437670,0.435853
7.000000,15.000000,0.430300,0.443807
7.000000,16.000000,0.420000,0.435224
7.000000,17.000000,0.422300,0.423008
7.000000,18.000000,0.454370,0.427140
7.000000,19.000000,0.484330,0.468491
7.000000,20.000000,0.534000,0.496500
7.000000,21.000000,0.548000,0.555787
7.000000,22.000000,0.538330,0.551335
7.000000,23.000000,0.501000,0.537436
7.000000,24.000000,0.480000,0.480104
